Date,Open,High,Low,Close,Volume
2023-05-22,8.0,8.5,6.0,7.0,42040
2023-05-29,6.75,7.0,6.25,7.0,4432
2023-06-05,6.25,8.0,6.0,6.25,25484
2023-06-12,6.5,6.75,5.5,6.0,15540
2023-06-19,6.75,6.75,5.5,5.5,10428
2023-06-26,5.5,6.25,5.25,5.25,26856
2023-07-03,5.5,6.0,5.0,5.25,16092
2023-07-10,5.25,14.0,5.0,7.0,5511760
2023-07-17,6.25,7.75,6.25,6.75,109364
2023-07-24,6.75,7.75,6.25,6.75,51476
2023-07-31,7.0,9.0,5.5,6.0,236620
2023-08-07,5.909999847412109,6.5,5.03000020980835,5.690000057220459,369700
